stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1900HA080279,,"The Pilgrim Inn",,50.885328853,-1.451360769,,,,,,
1900HA080281,,"North Lodge",,50.883169552,-1.445415719,,,,,,
1900HA080283,,"Veals Lane",,50.881507497,-1.441967046,,,,,,
1900HA080285,,"Garden City",,50.875082587,-1.439201184,,,,,,
1900HA080288,,"Applemore Tesco",,50.864350953,-1.431031519,,,,,,
1900HA080290,,"Cabot Drive",,50.864957521,-1.428182199,,,,,,
1900HA080291,,"Canterbury Drive",,50.864935977,-1.425624716,,,,,,
1900HA080293,,"Caledonia Drive",,50.864290136,-1.422307625,,,,,,
1900HA080295,,"Corsair Drive",,50.864206366,-1.419921467,,,,,,
1900HA080297,,"Corinna Gardens",,50.863090333,-1.421540942,,,,,,
1900HA080300,,"The Sylvans",,50.86175144,-1.423560932,,,,,,
1900HA080303,,"Challenger Way, Oaklands Way",,50.859755921,-1.421908965,,,,,,
1900HA080305,,"Kensington Fields",,50.860901221,-1.418939447,,,,,,
1900HA080307,,"Malvern Drive",,50.86162491,-1.417237065,,,,,,
1900HA080308,,"The Mead",,50.862022348,-1.412957816,,,,,,
1900HA080310,,"Golden Hind Park",,50.859551423,-1.409792011,,,,,,
1900HA080329,,"Highlands Way",,50.858949011,-1.406261848,,,,,,
1900HA080327,,"Hythe Hospital",,50.859167375,-1.403232782,,,,,,
1900HA080325,,"Deerleap Way",,50.860981833,-1.401078355,,,,,,
1900HAA90815,,"Hollybank Crescent",,50.865511486,-1.402327655,,,,,,
1900HA080356,,"Ewart Court",,50.870585637,-1.402788619,,,,,,
1900HA080357,,"Hythe Pier",,50.870713112,-1.399589411,,,,,,
1900HA080359,,"The Marsh",,50.869072631,-1.398843083,,,,,,
1900HA080360,,"Hythe Fire Station",,50.868026013,-1.39855101,,,,,,
1900HA080363,,"Langdown Hill",,50.864587769,-1.399312814,,,,,,
1900HA080326,,"Deerleap Way",,50.860703447,-1.401152962,,,,,,
1900HA080328,,"Hythe Hospital",,50.858944101,-1.403533996,,,,,,
1900HA080330,,"Highlands Way",,50.858473325,-1.408214347,,,,,,
1900HA080311,,"Golden Hind Park",,50.858965652,-1.40954366,,,,,,
1900HA080309,,"The Mead",,50.861434081,-1.412212141,,,,,,
1900HA080306,,"Malvern Drive",,50.861344379,-1.417640959,,,,,,
1900HA080304,,"Kensington Fields",,50.85995379,-1.42010208,,,,,,
1900HA080302,,"Challenger Way, Oaklands Way",,50.859732038,-1.422534418,,,,,,
1900HA080301,,"Beechwood Way",,50.860648018,-1.424100241,,,,,,
1900HA080299,,"The Sylvans",,50.862011437,-1.423401431,,,,,,
1900HA080298,,"Corinna Gardens",,50.862940142,-1.422082745,,,,,,
1900HA080294,,"Caledonia Drive",,50.864536916,-1.421295696,,,,,,
1900HA080292,,"Canterbury Drive",,50.864561988,-1.424549381,,,,,,
1900HA080289,,"Cabot Drive",,50.864894507,-1.42816876,,,,,,
1900HA080287,,"Applemore Tesco",,50.864470133,-1.431498984,,,,,,
1900HA080284,,"Garden City",,50.875640841,-1.43935083,,,,,,
1900HA080282,,"Veals Lane",,50.881760291,-1.44217725,,,,,,
1900HA080280,,"North Lodge",,50.883170699,-1.445657364,,,,,,
1900HA080278,,"The Pilgrim Inn",,50.885284161,-1.451418157,,,,,,
1900HA080276,,"Twiggs Lane",,50.886919691,-1.455024133,,,,,,
